,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c226211_g2_i1|m.11296,6.6529,0,7.7224,0,0,0,0,0,7.0369,7.538,6.9997,0,7.5253,0,0,0,0,0,8.24,0,8.2822,7.3063,0,7.3638,0,0,0,0,0,7.6897,7.3749,7.6215,0,7.2508,lcl|c226211_g2_i1|m.11296
lcl|c226212_g1_i3|m.11297,20.9506,23.3834,29.1824,20.9196,23.8987,9.1796,40.1237,72.6243,70.9118,42.7283,30.8597,27.7064,33.1772,0,4.3107,16.5449,0,24.5991,25.9485,10.2387,15.6489,4.6017,54.0403,37.1032,30.3891,38.4724,58.946,27.8513,74.8567,58.1173,32.5141,24.0008,46.6576,27.4003,lcl|c226212_g1_i3|m.11297
lcl|c226216_g1_i2|m.11298,100.9262,112.6458,128.8664,105.8156,115.1282,171.3578,150.3361,227.4061,80.0639,108.6361,74.3308,83.4195,62.7887,302.4062,88.2558,84.6837,114.392,154.0528,112.5022,104.8124,94.2325,94.2128,48.8119,94.9548,109.796,110.0423,87.3732,162.1209,106.0618,110.8216,89.5037,86.715,68.6784,115.497,lcl|c226216_g1_i2|m.11298
lcl|c226230_g2_i2|m.11305,8.647,9.6511,10.0371,12.9513,4.9319,9.4718,9.2002,4.9957,9.1461,4.8987,9.0977,23.8236,9.7809,0,26.6874,12.8036,4.667,10.1528,10.7098,0,5.3823,14.2444,4.6467,14.3566,5.2261,34.7348,14.0359,4.7896,4.5435,19.9891,4.7927,14.8589,0,9.4242,lcl|c226230_g2_i2|m.11305
lcl|c226252_g1_i1|m.11336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0783,0,0,4.4459,0,0,lcl|c226252_g1_i1|m.11336
lcl|c226287_g1_i1|m.11356,40.0341,31.9163,46.47,34.2641,45.6675,43.8529,0,0,42.3449,19.4401,36.1035,0,0,0,41.186,33.8735,43.2147,53.721,42.5008,0,0,0,67.6136,94.9548,69.1308,0,0,0,72.122,66.1041,69.7383,58.9662,0,43.6322,lcl|c226287_g1_i1|m.11356
lcl|c207960_g1_i1|m.1712,30.1844,109.4907,87.5922,45.2096,154.9434,90.9251,80.2886,87.1939,31.9267,76.9505,47.6366,66.5297,85.3567,0,31.053,59.5923,48.8738,97.4625,46.7312,55.3176,75.1533,66.2979,48.6613,66.82,109.4571,86.6073,89.8255,33.4387,47.5805,69.7766,41.8254,34.5789,74.6906,65.7946,lcl|c207960_g1_i1|m.1712
lcl|c226287_g1_i2|m.11357,49.8967,18.5636,32.1767,49.8228,31.6211,18.2188,58.9876,76.873,29.3204,50.2534,11.6661,42.7691,56.44,0,34.2216,32.8366,41.8918,52.0765,20.5999,40.6415,55.2147,48.7086,0,0,0,89.0818,65.9942,55.2763,0,0,0,57.1611,61.7341,42.2965,lcl|c226287_g1_i2|m.11357
lcl|c226332_g1_i2|m.11417,40.4331,36.6667,23.4666,12.6166,17.296,8.3044,18.8211,11.6799,18.7105,17.1797,13.2939,5.5699,20.0092,0,0,22.451,27.2784,50.4415,34.429,52.4874,22.0217,24.9773,38.0237,33.5654,30.5462,20.3024,24.6118,22.3962,45.1461,11.6835,25.2119,28.9498,25.0127,11.0168,lcl|c226332_g1_i2|m.11417
lcl|c226346_g1_i1|m.11426,21.5413,0,25.0043,35.849,24.5725,15.7307,30.5592,24.8906,15.1898,16.2715,7.5547,15.8264,8.1221,0,7.3871,7.0881,0,8.4309,0,17.5457,17.8779,23.657,23.1516,7.9478,17.3588,57.6874,38.8512,39.7729,15.0916,8.2994,23.8791,41.1291,17.7678,15.6516,lcl|c226346_g1_i1|m.11426
